"filename", "language", "JSON", "Markdown", "JSON with Comments", "TypeScript", "HTML", "TypeScript React", "XML", "CSS", "JavaScript", "comment", "blank", "total"
"c:\Users\Narcis\OneDrive\Desktop\MERN\blog-MERN-typescript\frontend\src\components\HomepageBlog\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 57, 0, 0, 0, 1, 3, 61
"c:\Users\Narcis\OneDrive\Desktop\MERN\blog-MERN-typescript\frontend\src\components\Loading\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 3, 16
"c:\Users\Narcis\OneDrive\Desktop\MERN\blog-MERN-typescript\frontend\src\components\LoginComponent\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 3, 63
"c:\Users\Narcis\OneDrive\Desktop\MERN\blog-MERN-typescript\frontend\src\components\MainButton\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 2, 17
"c:\Users\Narcis\OneDrive\Desktop\MERN\blog-MERN-typescript\frontend\src\components\Navbar\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 63, 0, 0, 0, 0, 4, 67
"c:\Users\Narcis\OneDrive\Desktop\MERN\blog-MERN-typescript\frontend\src\components\Navbar\navbarComponents.tsx", "TypeScript React", 0, 0, 0, 0, 0, 139, 0, 0, 0, 1, 10, 150
"c:\Users\Narcis\OneDrive\Desktop\MERN\blog-MERN-typescript\frontend\src\components\Pagination\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 31, 0, 0, 0, 2, 3, 36
"c:\Users\Narcis\OneDrive\Desktop\MERN\blog-MERN-typescript\frontend\src\components\Pagination\paginationComponents.tsx", "TypeScript React", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 2, 22
"c:\Users\Narcis\OneDrive\Desktop\MERN\blog-MERN-typescript\frontend\src\components\Post\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 3, 48
"c:\Users\Narcis\OneDrive\Desktop\MERN\blog-MERN-typescript\frontend\src\components\Post\postComponents.tsx", "TypeScript React", 0, 0, 0, 0, 0, 57, 0, 0, 0, 0, 2, 59
"c:\Users\Narcis\OneDrive\Desktop\MERN\blog-MERN-typescript\frontend\src\components\ProfileComponent\ProfileComponents.tsx", "TypeScript React", 0, 0, 0, 0, 0, 76, 0, 0, 0, 4, 5, 85
"c:\Users\Narcis\OneDrive\Desktop\MERN\blog-MERN-typescript\frontend\src\components\ProfileComponent\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 124, 0, 0, 0, 2, 3, 129
"c:\Users\Narcis\OneDrive\Desktop\MERN\blog-MERN-typescript\frontend\src\components\RegisterComponent\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 74, 0, 0, 0, 1, 2, 77
"c:\Users\Narcis\OneDrive\Desktop\MERN\blog-MERN-typescript\frontend\src\components\SearchBox\SearchBoxComponents.tsx", "TypeScript React", 0, 0, 0, 0, 0, 51, 0, 0, 0, 1, 2, 54
"c:\Users\Narcis\OneDrive\Desktop\MERN\blog-MERN-typescript\frontend\src\components\SearchBox\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 2, 25
"c:\Users\Narcis\OneDrive\Desktop\MERN\blog-MERN-typescript\frontend\src\containers\DarkBackground\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 2, 12
"c:\Users\Narcis\OneDrive\Desktop\MERN\blog-MERN-typescript\frontend\src\globalStyles.tsx", "TypeScript React", 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 4, 34
"c:\Users\Narcis\OneDrive\Desktop\MERN\blog-MERN-typescript\frontend\src\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 5, 31
"c:\Users\Narcis\OneDrive\Desktop\MERN\blog-MERN-typescript\frontend\src\pages\AddPost\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 3, 13
"c:\Users\Narcis\OneDrive\Desktop\MERN\blog-MERN-typescript\frontend\src\pages\BlogPost\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 3, 55
"c:\Users\Narcis\OneDrive\Desktop\MERN\blog-MERN-typescript\frontend\src\pages\Blog\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 107, 0, 0, 0, 2, 4, 113
"c:\Users\Narcis\OneDrive\Desktop\MERN\blog-MERN-typescript\frontend\src\pages\Contact\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 3, 13
"c:\Users\Narcis\OneDrive\Desktop\MERN\blog-MERN-typescript\frontend\src\pages\GetPostsByCategory\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 110, 0, 0, 0, 5, 5, 120
"c:\Users\Narcis\OneDrive\Desktop\MERN\blog-MERN-typescript\frontend\src\pages\GetPostsByTag\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 110, 0, 0, 0, 5, 4, 119
"c:\Users\Narcis\OneDrive\Desktop\MERN\blog-MERN-typescript\frontend\src\pages\Homepage\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 3, 17
"c:\Users\Narcis\OneDrive\Desktop\MERN\blog-MERN-typescript\frontend\src\pages\Login\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 3, 13
"c:\Users\Narcis\OneDrive\Desktop\MERN\blog-MERN-typescript\frontend\src\pages\NotFound\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 3, 16
"c:\Users\Narcis\OneDrive\Desktop\MERN\blog-MERN-typescript\frontend\src\pages\Profile\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 4, 54
"c:\Users\Narcis\OneDrive\Desktop\MERN\blog-MERN-typescript\frontend\src\pages\Register\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 3, 13
"c:\Users\Narcis\OneDrive\Desktop\MERN\blog-MERN-typescript\frontend\src\react-app-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\Narcis\OneDrive\Desktop\MERN\blog-MERN-typescript\frontend\src\redux\slices\auth.ts", "TypeScript", 0, 0, 0, 123, 0, 0, 0, 0, 0, 7, 5, 135
"c:\Users\Narcis\OneDrive\Desktop\MERN\blog-MERN-typescript\frontend\src\redux\slices\post.ts", "TypeScript", 0, 0, 0, 52, 0, 0, 0, 0, 0, 3, 5, 60
"c:\Users\Narcis\OneDrive\Desktop\MERN\blog-MERN-typescript\frontend\src\redux\slices\posts.ts", "TypeScript", 0, 0, 0, 65, 0, 0, 0, 0, 0, 2, 6, 73
"c:\Users\Narcis\OneDrive\Desktop\MERN\blog-MERN-typescript\frontend\src\redux\types\auth.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Users\Narcis\OneDrive\Desktop\MERN\blog-MERN-typescript\frontend\src\redux\types\post.ts", "TypeScript", 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 1, 55
"c:\Users\Narcis\OneDrive\Desktop\MERN\blog-MERN-typescript\frontend\src\scrollToTop.tsx", "TypeScript React", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 4, 13
"c:\Users\Narcis\OneDrive\Desktop\MERN\blog-MERN-typescript\frontend\src\utils\PrivateRoute.tsx", "TypeScript React", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
"c:\Users\Narcis\OneDrive\Desktop\MERN\blog-MERN-typescript\frontend\src\utils\SetAuthToken.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 0, 0, 0, 1, 4, 15
"c:\Users\Narcis\OneDrive\Desktop\MERN\blog-MERN-typescript\frontend\src\utils\api.ts", "TypeScript", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 3, 22
"c:\Users\Narcis\OneDrive\Desktop\MERN\blog-MERN-typescript\frontend\src\utils\colors.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Narcis\OneDrive\Desktop\MERN\blog-MERN-typescript\frontend\tsconfig.json", "JSON with Comments", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 1, 27
"c:\Users\Narcis\OneDrive\Desktop\MERN\blog-MERN-typescript\posts.json", "JSON", 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 71
"Total", "-", 36683, 27, 107, 1034, 23, 2740, 42, 44, 14, 213, 336, 41263
